
2024/05/18 (21:23:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/18 (21:23:01) | DEBUG: Shared::init() : Initialized.
2024/05/18 (21:23:01) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:23:11) | INFO: Quitting! Runtime: 00:00:10

2024/05/18 (21:25:11) | ===> btop++ v.1.3.2
2024/05/18 (21:25:11) | INFO: Logger set to DEBUG
2024/05/18 (21:25:11) | DEBUG: Using locale C.UTF-8
2024/05/18 (21:25:11) | INFO: Running on /dev/pts/2
2024/05/18 (21:25:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/18 (21:25:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/18 (21:25:11) | DEBUG: Shared::init() : Initialized.
2024/05/18 (21:25:11) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:22) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:23) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:24) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:25) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:25) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:26) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:30:31) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:31:16) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:31:17) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:32:17) | INFO: Logger set to INFO
2024/05/18 (21:32:18) | INFO: Logger set to DEBUG

2024/05/18 (21:40:30) | ===> btop++ v.1.3.2
2024/05/18 (21:40:30) | INFO: Logger set to DEBUG
2024/05/18 (21:40:30) | DEBUG: Using locale C.UTF-8
2024/05/18 (21:40:30) | INFO: Running on /dev/pts/1
2024/05/18 (21:40:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/18 (21:40:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/18 (21:40:31) | DEBUG: Shared::init() : Initialized.
2024/05/18 (21:40:31) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/18 (21:40:59) | DEBUG: Writing new config file
2024/05/18 (21:40:59) | INFO: Quitting! Runtime: 00:00:29

2024/05/18 (21:41:38) | ===> btop++ v.1.3.2
2024/05/18 (21:41:38) | INFO: Logger set to DEBUG
2024/05/18 (21:41:38) | DEBUG: Using locale C.UTF-8
2024/05/18 (21:41:38) | INFO: Running on /dev/pts/0
2024/05/18 (21:41:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
